LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004911,E01004911 : Bolton 024A,7.22,17.24,6.48,31.17,46.95,91.28630705,14.81,2.03,13,0.35
E01004912,E01004912 : Bolton 024B,4.78,20.92,4.31,10.92,15.98,98.46153846,15.91,2.08,13.77,0.36
E01004913,E01004913 : Bolton 024C,4.71,23.62,16.22,13.54,28.35,93.99744572,14.02,1.99,12.25,0.41
E01004914,E01004914 : Bolton 024D,4.53,20.76,8.88,5.21,8.49,95.95375723,14.08,1.99,12.65,0.36
E01004915,E01004915 : Bolton 024E,2.4,22.62,9.25,2.08,8.11,96.41509434,15.91,2.08,13.77,0.39
E01004916,E01004916 : Bolton 024F,6.1,20.56,4.28,35.75,42.48,93.18518519,15.2,2,13.04,0.47
E01004918,E01004918 : Bolton 024G,2.01,24.54,11.94,6.07,6.84,97.47572816,14,1.94,12.22,0.37
E01004846,E01004846 : Bolton 025A,10.04,19.03,5.28,62.6,56.33,84.14634146,15.11,2.45,12.37,0.34
E01004847,E01004847 : Bolton 025B,11.3,20.36,7.53,42.86,58.06,76.72281776,14.23,2.31,12.48,0.39
E01004852,E01004852 : Bolton 025C,6.68,22.6,6.37,73.51,40.91,72.13114754,14.27,2.33,12.61,0.18
E01004877,E01004877 : Bolton 025D,16.02,19.33,3.13,19.82,72.28,77.36131934,14.52,2.09,13.24,0.46
E01004879,E01004879 : Bolton 025E,8.87,21.51,4.87,21.16,57.43,79.88721805,14.96,2.16,13.18,0.46
E01004830,E01004830 : Bolton 026A,8.29,18.38,4.66,54.73,55.85,89.0260631,13.92,1.96,13.56,0.22
E01004831,E01004831 : Bolton 026B,4.71,25.61,6.52,53.57,22.6,90.99378882,12.82,1.9,13.17,0.33
E01004833,E01004833 : Bolton 026C,5.72,26.94,27.53,26.44,17.86,95.49689441,12.87,1.91,12.78,0.44
E01004839,E01004839 : Bolton 026D,10.29,23.86,4.69,36.35,72.26,89.69823101,14.4,2.47,13.82,0.48
E01004814,E01004814 : Bolton 027A,6.67,23.72,9.04,35.64,39.86,86.70212766,15.79,2.47,13.81,0.39
E01004855,E01004855 : Bolton 027B,6.39,22.94,5.47,59.97,39.65,91.80064309,16.07,2.13,14.06,0.37
E01004856,E01004856 : Bolton 027C,9.32,20.07,3.62,60.79,53.23,87.55905512,15.33,2.2,13.44,0.37
E01004857,E01004857 : Bolton 027D,10.76,19.05,6.79,52.04,53.16,87.06766917,16.29,2.2,13.48,0.28
E01004891,E01004891 : Bolton 028A,3.28,26.91,17.57,14.32,20.89,97.56756757,11.51,2.12,12.12,0.43
