LSOA21CD,2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005674,E01005674 : Salford 012B,1573,717,479,261,95,21
E01005694,E01005694 : Salford 012C,1708,901,556,181,49,21
E01005696,E01005696 : Salford 012D,1784,935,569,200,60,20
E01005698,E01005698 : Salford 012E,1745,755,532,306,112,40
E01005700,E01005700 : Salford 012F,1516,714,504,214,65,19
E01005716,E01005716 : Salford 013A,1634,886,539,160,37,12
E01005717,E01005717 : Salford 013B,1555,946,486,101,16,6
E01005734,E01005734 : Salford 013C,1417,653,449,216,78,21
E01005735,E01005735 : Salford 013D,1423,735,463,167,41,17
E01005736,E01005736 : Salford 013E,1368,688,456,161,47,16
E01005737,E01005737 : Salford 013F,1511,864,458,138,34,17
E01005739,E01005739 : Salford 013G,2000,1230,550,161,39,20
E01005695,E01005695 : Salford 014A,1556,903,471,144,29,9
E01005697,E01005697 : Salford 014B,1531,837,475,172,34,13
E01005738,E01005738 : Salford 014C,1933,1034,601,243,44,11
E01005740,E01005740 : Salford 014D,1597,881,474,163,57,22
E01005741,E01005741 : Salford 014E,1679,1006,488,140,39,6
E01005742,E01005742 : Salford 014F,1556,863,486,149,43,15
E01005625,E01005625 : Salford 015A,1371,676,453,179,56,7
E01005627,E01005627 : Salford 015B,1172,577,399,138,45,13
E01005699,E01005699 : Salford 015C,1790,885,627,210,59,9
E01005701,E01005701 : Salford 015D,1826,890,600,244,69,23
E01005624,E01005624 : Salford 017A,1841,834,629,252,95,31
E01005680,E01005680 : Salford 017B,1731,688,579,276,136,52
E01005683,E01005683 : Salford 017C,2148,997,679,274,138,60
E01033980,E01033980 : Salford 017G,1042,518,372,104,44,4
E01033981,E01033981 : Salford 017H,2739,1397,932,265,98,47
E01005622,E01005622 : Salford 018A,1594,753,530,236,64,11
E01005623,E01005623 : Salford 018B,1266,676,398,135,38,19
E01005626,E01005626 : Salford 018C,1286,600,467,157,46,16
E01005628,E01005628 : Salford 018D,1576,696,573,201,79,27
E01005725,E01005725 : Salford 019A,1461,644,475,205,107,30
E01005726,E01005726 : Salford 019B,1432,643,502,195,76,16
E01005727,E01005727 : Salford 019C,1349,629,475,164,59,22
E01005728,E01005728 : Salford 019D,1790,928,636,168,45,13
E01005733,E01005733 : Salford 019E,1470,710,467,174,101,18
E01005631,E01005631 : Salford 020A,1576,563,436,363,169,45
E01005632,E01005632 : Salford 020B,2452,1291,752,263,109,37
E01005633,E01005633 : Salford 020C,1533,683,511,217,90,32
E01005634,E01005634 : Salford 020D,1591,916,499,140,30,6
E01005635,E01005635 : Salford 020E,1552,753,465,245,70,19
E01005636,E01005636 : Salford 020F,1597,831,481,192,69,24
E01005637,E01005637 : Salford 020G,1454,711,486,181,58,18
E01005629,E01005629 : Salford 021A,1486,731,460,201,74,20
E01005630,E01005630 : Salford 021B,1529,764,489,204,56,16
E01005719,E01005719 : Salford 021C,2036,921,640,317,122,36
E01005722,E01005722 : Salford 021E,2032,945,647,285,126,29
E01005723,E01005723 : Salford 021F,1661,804,505,225,99,28
E01005724,E01005724 : Salford 021G,1413,708,424,197,68,16
E01033982,E01033982 : Salford 021H,1911,944,614,234,90,29
E01033983,E01033983 : Salford 021I,1275,608,472,126,56,13
E01005654,E01005654 : Salford 023A,1967,1056,614,208,68,21
E01005656,E01005656 : Salford 023B,1697,756,623,212,80,26
E01005657,E01005657 : Salford 023C,1804,856,585,226,108,29
E01005721,E01005721 : Salford 023D,1552,607,541,252,123,29
E01005681,E01005681 : Salford 024C,1502,642,493,236,94,37
E01005682,E01005682 : Salford 024D,1742,699,479,338,172,54
E01033984,E01033984 : Salford 024E,2443,1175,758,330,120,60
E01005729,E01005729 : Salford 025A,1537,642,454,296,109,36
E01005730,E01005730 : Salford 025B,1668,783,609,208,60,8
E01005731,E01005731 : Salford 025C,1566,693,551,205,97,20
E01005732,E01005732 : Salford 025D,1208,519,375,201,86,27
E01005599,E01005599 : Salford 026A,1903,853,611,294,105,40
E01005600,E01005600 : Salford 026B,2035,1065,633,235,80,22
E01005601,E01005601 : Salford 026C,1740,780,572,274,85,29
E01005602,E01005602 : Salford 026D,1674,745,503,289,102,35
E01005603,E01005603 : Salford 027A,1810,908,579,234,67,22
E01005604,E01005604 : Salford 027B,1651,739,568,242,83,19
E01005605,E01005605 : Salford 027C,1658,811,529,222,72,24
E01005638,E01005638 : Salford 027D,2210,1019,717,333,111,30
E01005639,E01005639 : Salford 029A,1515,691,472,196,126,30
E01005640,E01005640 : Salford 029B,1359,594,452,189,104,20
E01005641,E01005641 : Salford 029C,1365,554,446,224,110,31
E01005642,E01005642 : Salford 029D,1208,594,432,124,46,12
E01005643,E01005643 : Salford 029E,1367,563,476,236,75,17
E01005644,E01005644 : Salford 029F,1518,742,536,181,48,11
E01005645,E01005645 : Salford 029G,1362,590,481,218,55,18
E01005616,E01005616 : Salford 030A,1446,607,492,239,81,27
E01005617,E01005617 : Salford 030B,1481,690,510,198,71,12
E01005618,E01005618 : Salford 030C,2081,1048,653,256,99,25
E01005619,E01005619 : Salford 030D,1231,550,423,166,70,22
E01005620,E01005620 : Salford 030E,2550,1370,827,262,68,23
E01005621,E01005621 : Salford 030F,1770,762,609,269,99,31
E01005613,E01005613 : Salford 031A,2699,1397,797,307,161,37
E01005612,E01005612 : Salford 031B,2481,1279,633,356,168,45
E01005614,E01005614 : Salford 031C,3098,2471,440,125,51,11
E01033985,E01033985 : Salford 032A,1664,853,467,182,119,43
E01033986,E01033986 : Salford 032B,1521,854,474,120,63,10
E01005611,E01005611 : Salford 032C,2513,1190,871,292,124,36
