LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005302,E01005302 : Manchester 028C,7.13,55.57,1.69,4.38,72.54,41.19,15.64,2.15,12.85,0.57
E01033680,E01033680 : Manchester 028E,7.90,54.83,2.82,6.68,77.15,45.85,15.51,2.17,13.13,0.59
E01033686,E01033686 : Manchester 028F,6.95,53.05,3.40,13.58,65.02,39.04,15.51,2.17,13.13,0.55
E01005150,E01005150 : Manchester 029A,5.55,67.03,1.90,15.44,72.60,40.43,16.26,2.01,12.16,0.29
E01005151,E01005151 : Manchester 029B,5.63,59.45,3.56,6.55,50.00,32.86,16.82,1.98,12.76,0.54
E01005152,E01005152 : Manchester 029C,2.93,70.59,1.53,32.54,18.47,15.59,16.28,2.02,13.14,0.42
E01005159,E01005159 : Manchester 029D,3.33,67.06,3.51,40.41,32.60,21.88,15.18,2.07,12.58,0.39
E01005296,E01005296 : Manchester 029E,6.53,56.61,4.30,0.16,32.65,22.89,15.42,1.99,12.23,0.43
E01005299,E01005299 : Manchester 029F,5.69,47.84,3.67,18.53,23.16,17.25,15.33,2.10,12.73,0.39
E01005178,E01005178 : Manchester 030A,11.18,40.29,2.84,40.73,60.13,37.13,15.39,2.18,13.17,0.38
E01005179,E01005179 : Manchester 030B,8.01,54.47,3.70,11.33,57.64,36.21,14.65,2.09,13.17,0.51
E01005180,E01005180 : Manchester 030C,8.47,29.37,1.97,14.15,65.53,39.19,15.98,2.16,12.95,0.49
E01005181,E01005181 : Manchester 030D,6.42,45.75,14.26,14.41,45.41,20.20,14.38,2.01,12.56,0.49
E01005182,E01005182 : Manchester 030E,14.69,31.72,14.04,16.60,63.27,30.93,15.39,2.18,13.17,0.47
E01005183,E01005183 : Manchester 030F,11.00,27.08,2.64,16.74,61.02,34.78,15.51,2.12,12.97,0.49
E01005219,E01005219 : Manchester 031A,12.63,43.54,3.90,24.95,62.31,44.59,16.26,2.24,13.23,0.33
E01005220,E01005220 : Manchester 031B,6.31,39.40,4.55,69.08,47.79,35.97,15.72,2.20,13.30,0.26
E01005221,E01005221 : Manchester 031C,8.83,38.91,3.33,53.56,51.72,37.80,16.05,2.19,13.07,0.22
E01005222,E01005222 : Manchester 031D,7.78,39.81,2.97,61.32,56.75,39.93,15.59,2.21,13.11,0.26
E01005184,E01005184 : Manchester 032A,15.22,37.09,6.84,26.71,73.49,39.46,16.10,2.12,12.88,0.45
E01005185,E01005185 : Manchester 032B,28.85,17.44,1.76,47.27,91.39,46.18,15.91,2.10,12.80,0.40
E01005271,E01005271 : Manchester 032C,21.34,33.09,2.58,17.58,81.94,44.35,16.46,2.01,12.73,0.38
E01034128,E01034128 : Manchester 032F,20.42,25.84,2.81,42.86,58.16,34.83,15.71,2.14,12.84,0.37
E01005154,E01005154 : Manchester 033A,5.52,70.73,2.90,11.91,52.37,29.53,15.41,1.95,12.02,0.30
E01005156,E01005156 : Manchester 033B,2.55,70.20,1.44,48.80,28.37,16.53,15.52,1.89,11.74,0.44
E01005158,E01005158 : Manchester 033C,5.26,53.68,2.15,20.80,52.01,34.00,15.91,1.89,12.36,0.49
E01005300,E01005300 : Manchester 033D,6.56,47.48,8.75,1.46,19.38,8.75,14.65,2.04,12.64,0.43
E01005301,E01005301 : Manchester 033E,4.42,62.22,7.98,0.17,29.98,21.81,14.78,2.01,12.40,0.48
E01005118,E01005118 : Manchester 034A,9.49,31.99,2.31,8.61,38.95,18.28,15.13,2.14,12.62,0.34
E01005120,E01005120 : Manchester 034B,8.56,34.59,5.42,20.03,42.47,26.51,15.11,2.11,12.61,0.44
E01005215,E01005215 : Manchester 034C,11.10,36.20,1.38,22.96,43.65,26.76,15.44,2.24,12.78,0.34
E01005216,E01005216 : Manchester 034D,7.74,52.70,2.48,36.69,27.27,22.90,15.30,2.13,12.73,0.37
E01005217,E01005217 : Manchester 034E,5.33,42.63,6.88,7.59,20.09,18.88,15.30,2.13,12.73,0.36
E01005218,E01005218 : Manchester 034F,11.47,39.26,4.77,15.58,49.60,35.14,15.78,2.18,12.98,0.34
E01005270,E01005270 : Manchester 035A,9.19,33.67,3.49,25.00,64.29,32.17,16.46,2.01,12.78,0.54
E01005272,E01005272 : Manchester 035B,10.16,30.79,2.22,25.77,69.94,38.42,15.63,2.05,12.78,0.50
E01005273,E01005273 : Manchester 035C,15.67,36.75,2.02,42.50,74.54,40.98,16.46,2.01,12.73,0.39
E01005278,E01005278 : Manchester 035D,11.15,30.48,2.60,2.60,49.16,22.39,16.46,2.01,12.73,0.42
E01005279,E01005279 : Manchester 035E,8.30,40.84,5.25,20.51,59.05,27.66,14.98,1.98,12.43,0.56
E01005305,E01005305 : Manchester 036A,9.37,51.83,3.92,4.10,32.03,19.25,15.80,2.08,12.62,0.40
E01005309,E01005309 : Manchester 036B,16.05,38.99,3.15,4.73,82.42,50.32,16.46,2.01,12.68,0.49
E01005310,E01005310 : Manchester 036C,17.31,21.51,3.59,51.11,82.79,41.03,15.80,2.08,12.68,0.39
E01005311,E01005311 : Manchester 036D,14.26,42.65,2.12,31.32,53.56,31.82,15.80,2.08,12.62,0.30
E01005312,E01005312 : Manchester 036E,24.66,23.65,3.89,37.69,85.20,49.14,15.80,2.08,12.68,0.34
E01005082,E01005082 : Manchester 037A,5.82,43.54,4.27,20.16,53.05,30.93,15.96,1.87,13.05,0.53
E01005153,E01005153 : Manchester 037B,3.28,62.80,2.04,58.67,47.19,26.50,17.35,1.94,11.74,0.39
E01005155,E01005155 : Manchester 037C,1.95,69.97,2.40,55.26,27.01,19.46,17.35,1.94,12.38,0.44
E01005157,E01005157 : Manchester 037D,3.51,69.08,5.85,9.53,12.52,10.70,17.35,1.94,12.81,0.55
E01005274,E01005274 : Manchester 038A,7.88,44.35,3.88,27.30,60.11,34.58,15.90,2.04,12.78,0.45
E01005275,E01005275 : Manchester 038B,7.56,67.47,3.35,18.73,65.50,35.45,16.46,2.01,12.78,0.44
E01005276,E01005276 : Manchester 038C,7.60,64.72,1.79,22.64,57.79,29.87,16.46,2.01,12.78,0.52
E01005277,E01005277 : Manchester 038D,3.99,76.04,7.29,4.09,49.94,23.21,15.56,1.91,12.60,0.49
E01005076,E01005076 : Manchester 039A,4.27,73.55,1.62,8.12,68.24,30.58,15.99,1.95,12.93,0.49
E01005081,E01005081 : Manchester 039C,8.93,38.55,3.49,31.40,68.82,41.01,14.64,1.97,12.57,0.51
E01005083,E01005083 : Manchester 039D,3.49,76.42,4.69,11.99,63.57,32.49,15.84,1.93,12.99,0.45
E01033670,E01033670 : Manchester 039E,1.36,83.49,2.31,6.55,51.09,15.79,15.03,1.96,12.88,0.32
E01033671,E01033671 : Manchester 039F,2.85,73.12,1.57,50.85,45.47,20.68,15.63,2.05,12.78,0.38
E01005125,E01005125 : Manchester 040A,8.01,38.91,1.95,28.90,51.30,27.69,15.86,1.91,12.56,0.48
E01005304,E01005304 : Manchester 040B,9.50,42.78,6.97,4.70,65.82,35.64,16.46,2.01,12.70,0.51
E01005306,E01005306 : Manchester 040C,5.95,73.63,8.40,1.93,37.26,24.38,15.56,1.91,12.58,0.45
E01005307,E01005307 : Manchester 040D,7.92,53.60,3.09,17.84,47.89,25.25,16.46,2.01,12.67,0.41
E01005308,E01005308 : Manchester 040E,7.20,40.40,3.89,12.97,51.05,26.30,15.56,1.91,12.56,0.55
E01005119,E01005119 : Manchester 041A,7.81,26.12,3.28,10.90,55.97,31.63,15.80,2.02,12.56,0.48
E01005121,E01005121 : Manchester 041B,9.29,24.69,2.49,16.75,60.63,31.79,15.80,2.08,12.56,0.47
E01005122,E01005122 : Manchester 041C,7.89,29.27,1.39,10.37,49.30,27.67,15.10,2.10,12.59,0.49
E01005123,E01005123 : Manchester 041D,8.57,29.17,2.46,21.97,66.61,33.17,15.68,1.97,12.56,0.49
E01005124,E01005124 : Manchester 041E,10.86,30.34,3.42,15.90,64.08,31.25,15.80,2.02,12.56,0.47
E01005077,E01005077 : Manchester 042A,10.17,35.50,2.07,24.08,67.83,35.35,15.97,1.85,13.28,0.51
E01005078,E01005078 : Manchester 042B,4.33,67.76,7.10,3.73,61.90,27.97,16.58,1.89,13.43,0.61
E01005079,E01005079 : Manchester 042C,5.35,50.98,12.48,12.95,34.86,17.88,15.85,1.91,13.18,0.57
E01005084,E01005084 : Manchester 042D,4.94,48.54,2.57,25.55,46.67,25.41,15.59,1.91,13.02,0.53
E01005172,E01005172 : Manchester 043A,4.00,67.81,11.19,7.67,51.26,32.20,15.56,1.91,12.60,0.54
E01005173,E01005173 : Manchester 043B,2.52,70.63,20.08,21.47,34.99,21.05,16.69,1.91,13.35,0.59
E01005174,E01005174 : Manchester 043C,3.39,72.63,14.01,7.73,20.68,16.53,14.66,1.81,12.49,0.47
E01005175,E01005175 : Manchester 043D,4.42,61.37,1.46,14.31,37.48,20.85,16.05,1.83,13.01,0.43
E01005176,E01005176 : Manchester 043E,3.58,71.76,2.57,53.74,55.47,26.93,16.29,1.86,13.03,0.28
E01005177,E01005177 : Manchester 043F,3.52,63.24,4.35,17.10,32.90,25.69,15.84,1.88,12.76,0.43
E01005115,E01005115 : Manchester 044A,6.97,34.21,12.39,29.50,46.93,28.41,14.75,1.94,11.93,0.52
E01005262,E01005262 : Manchester 044B,5.43,33.74,13.79,30.14,56.71,31.26,14.70,1.90,11.94,0.52
E01005264,E01005264 : Manchester 044C,8.78,25.46,6.00,35.66,55.36,32.20,14.69,1.89,12.15,0.53
E01005265,E01005265 : Manchester 044D,9.09,28.37,7.34,30.50,60.09,32.57,14.69,1.89,12.15,0.53
E01005266,E01005266 : Manchester 044E,7.82,29.54,3.36,36.85,57.31,31.65,14.89,1.88,12.42,0.51
E01005126,E01005126 : Manchester 045A,5.70,50.68,3.24,6.48,30.47,19.43,16.65,1.87,13.05,0.37
E01005168,E01005168 : Manchester 045B,3.03,57.63,4.39,2.67,16.44,11.28,16.83,1.88,13.23,0.41
E01005169,E01005169 : Manchester 045C,2.38,66.81,15.53,6.68,17.62,10.72,16.96,1.95,12.92,0.49
E01005170,E01005170 : Manchester 045D,5.38,53.62,7.43,1.21,21.76,10.00,16.47,2.00,13.00,0.41
E01005171,E01005171 : Manchester 045E,4.99,54.20,5.44,1.29,33.33,20.71,16.95,1.95,12.86,0.35
E01005263,E01005263 : Manchester 046A,7.35,33.55,10.97,22.07,58.66,35.54,16.66,2.00,13.37,0.49
E01005267,E01005267 : Manchester 046B,4.92,41.91,10.63,25.73,26.46,17.67,15.39,1.88,12.96,0.57
E01005268,E01005268 : Manchester 046C,4.14,50.14,4.47,31.01,34.14,25.79,16.23,1.93,13.47,0.37
E01005269,E01005269 : Manchester 046D,4.71,36.53,22.91,3.27,22.60,18.57,15.68,1.96,13.25,0.49
E01005069,E01005069 : Manchester 047A,6.54,29.16,1.83,40.31,27.74,16.79,12.94,1.84,11.49,0.37
E01005111,E01005111 : Manchester 047B,5.79,25.31,4.11,48.52,47.37,26.36,14.09,1.94,11.79,0.53
E01005113,E01005113 : Manchester 047C,8.80,20.28,2.22,30.42,69.95,43.70,14.03,1.98,11.70,0.52
E01005114,E01005114 : Manchester 047D,3.30,43.02,33.95,11.76,22.21,15.95,13.66,1.95,11.77,0.56
E01005116,E01005116 : Manchester 047E,5.20,35.57,9.26,29.20,51.52,27.29,14.09,1.94,11.79,0.50
E01005071,E01005071 : Manchester 048A,7.02,23.31,1.77,36.43,56.79,32.83,14.30,1.89,12.02,0.46
E01005072,E01005072 : Manchester 048B,6.12,31.69,1.63,26.34,60.07,34.69,14.98,1.88,11.56,0.53
E01005073,E01005073 : Manchester 048C,5.66,28.38,27.82,6.55,26.51,20.79,15.78,1.94,12.82,0.52
E01005112,E01005112 : Manchester 048D,7.52,27.05,9.47,24.41,45.41,23.56,15.10,1.92,12.69,0.49
E01005117,E01005117 : Manchester 048E,10.69,24.61,6.47,25.28,76.13,40.55,14.95,1.95,12.25,0.50
E01005085,E01005085 : Manchester 049A,12.04,23.15,3.53,27.56,73.08,38.36,15.52,1.96,13.23,0.53
E01005086,E01005086 : Manchester 049B,11.07,19.57,3.85,30.77,74.64,38.89,15.08,1.96,12.65,0.50
E01005089,E01005089 : Manchester 049C,11.32,20.57,8.61,27.55,76.40,45.48,15.69,1.98,12.67,0.48
E01005289,E01005289 : Manchester 049D,9.70,17.10,3.07,16.22,73.08,49.23,14.94,2.00,11.94,0.47
E01005295,E01005295 : Manchester 049E,5.19,41.09,11.38,22.59,49.17,19.82,15.56,2.00,12.94,0.41
E01005087,E01005087 : Manchester 050A,9.88,21.63,4.49,22.72,80.82,39.73,15.95,1.93,12.79,0.52
E01005088,E01005088 : Manchester 050B,9.61,18.48,3.31,38.21,79.37,42.76,16.30,1.93,12.80,0.46
E01005090,E01005090 : Manchester 050C,13.41,19.91,2.91,29.07,75.64,48.95,17.35,1.94,13.20,0.48
E01005091,E01005091 : Manchester 050D,8.78,24.68,6.96,25.11,83.24,49.83,16.30,1.99,12.69,0.47
E01005291,E01005291 : Manchester 050E,9.94,19.18,2.06,13.80,75.18,50.44,16.30,1.99,11.89,0.48
E01005068,E01005068 : Manchester 051A,7.20,23.20,2.90,38.45,58.67,35.09,14.59,1.79,12.47,0.50
E01005070,E01005070 : Manchester 051B,7.87,27.67,1.99,19.55,72.32,42.84,14.17,1.84,12.10,0.44
E01005074,E01005074 : Manchester 051C,7.13,20.99,5.73,15.79,59.10,33.23,16.16,1.91,12.19,0.51
E01005075,E01005075 : Manchester 051D,5.96,25.12,7.42,30.42,59.76,34.12,13.21,1.73,12.54,0.48
E01005319,E01005319 : Manchester 051E,7.79,23.26,3.36,40.27,61.34,31.70,17.35,1.94,12.23,0.49
E01005290,E01005290 : Manchester 052A,10.08,20.02,5.24,28.97,64.96,37.04,15.25,2.05,11.81,0.47
E01005292,E01005292 : Manchester 052B,11.10,20.76,3.29,42.51,69.70,40.51,14.62,1.98,11.29,0.50
E01005293,E01005293 : Manchester 052C,3.88,24.06,3.90,39.18,24.95,18.91,16.30,1.99,11.89,0.43
E01005294,E01005294 : Manchester 052D,5.97,31.87,24.53,14.53,27.27,21.94,14.87,1.98,10.92,0.50
E01005317,E01005317 : Manchester 052E,6.83,26.24,6.63,25.00,56.43,33.70,14.82,1.94,10.82,0.48
E01005313,E01005313 : Manchester 053A,9.49,16.87,2.16,41.46,59.97,36.82,16.82,1.97,11.76,0.51
E01005314,E01005314 : Manchester 053B,8.09,20.10,2.85,42.25,58.81,36.64,18.52,2.16,11.12,0.48
E01005315,E01005315 : Manchester 053C,10.17,19.23,2.83,31.33,72.20,42.07,18.13,2.09,11.17,0.49
E01005316,E01005316 : Manchester 053D,7.51,27.22,13.17,34.73,56.81,30.33,12.25,1.72,10.79,0.14
E01005318,E01005318 : Manchester 053E,7.61,20.53,1.78,40.33,59.11,32.57,17.13,2.09,11.02,0.48
E01005130,E01005130 : Manchester 054A,9.82,34.40,4.39,33.88,83.67,56.28,23.25,2.63,15.72,0.46
E01033651,E01033651 : Manchester 054B,6.36,72.89,0.31,2.30,84.74,62.80,23.46,2.65,15.72,0.06
E01033658,E01033658 : Manchester 054C,12.16,56.86,0.00,0.56,75.53,74.58,21.27,2.57,15.01,0.11
E01033664,E01033664 : Manchester 054D,7.42,67.50,0.19,0.28,86.25,62.30,24.11,2.73,15.72,0.11
E01033667,E01033667 : Manchester 054E,8.01,65.82,0.11,0.80,76.48,75.88,24.11,2.73,15.72,0.12
E01005128,E01005128 : Manchester 055A,16.36,54.73,0.00,0.00,84.15,77.99,17.86,2.54,14.02,0.13
E01033653,E01033653 : Manchester 055B,8.00,63.02,0.44,0.79,78.52,75.48,19.94,2.60,14.59,0.11
E01033654,E01033654 : Manchester 055C,15.23,50.62,0.36,0.53,75.49,67.32,20.78,2.71,14.51,0.12
E01033661,E01033661 : Manchester 055E,4.12,73.09,0.33,2.75,79.20,51.54,21.02,2.64,14.81,0.15
E01034129,E01034129 : Manchester 055F,5.40,75.36,0.47,3.44,74.25,57.61,24.11,2.73,15.72,0.09
E01034130,E01034130 : Manchester 055G,4.25,76.73,0.51,0.00,76.60,57.85,22.92,2.59,15.72,0.10
E01005143,E01005143 : Manchester 056A,10.79,25.73,7.94,56.87,64.43,33.67,19.07,2.27,13.63,0.25
E01033655,E01033655 : Manchester 056B,5.21,76.63,0.00,0.40,82.42,55.97,22.12,2.58,15.61,0.13
E01033665,E01033665 : Manchester 056C,5.89,65.88,0.22,1.09,76.31,55.24,22.12,2.59,14.65,0.14
E01033676,E01033676 : Manchester 056D,10.48,26.94,7.12,37.67,73.09,47.61,21.28,2.50,14.46,0.41
E01005212,E01005212 : Manchester 057A,31.04,30.00,1.71,13.40,86.45,56.90,17.86,2.54,13.82,0.29
E01033656,E01033656 : Manchester 057B,22.94,38.78,0.00,0.21,79.71,61.44,17.86,2.54,14.02,0.15
E01033662,E01033662 : Manchester 057C,13.27,62.13,0.41,1.24,83.02,74.97,17.86,2.54,14.02,0.11
E01005142,E01005142 : Manchester 058A,13.49,21.50,8.12,37.32,81.08,39.32,18.68,2.23,13.65,0.39
E01005147,E01005147 : Manchester 058B,13.97,28.31,9.13,34.86,78.95,42.00,20.53,2.42,14.40,0.35
E01033674,E01033674 : Manchester 058C,10.64,41.56,6.31,11.56,78.53,52.62,21.16,2.50,14.80,0.15
E01033675,E01033675 : Manchester 058D,11.04,32.94,7.13,21.53,69.04,33.29,20.26,2.39,13.55,0.39
E01005213,E01005213 : Manchester 059A,16.14,40.38,2.41,17.27,85.26,57.09,18.29,2.49,13.37,0.35
E01033660,E01033660 : Manchester 059B,4.45,78.80,0.00,0.12,71.54,42.29,18.72,2.43,13.35,0.15
E01033672,E01033672 : Manchester 059C,9.59,50.55,1.63,23.54,79.28,55.00,18.29,2.49,13.37,0.36
E01033673,E01033673 : Manchester 059D,3.47,76.56,0.12,0.00,77.01,44.57,18.72,2.43,13.35,0.16
E01033677,E01033677 : Manchester 060A,6.46,70.61,0.49,0.00,71.59,60.82,19.99,2.56,14.55,0.11
E01033681,E01033681 : Manchester 060B,4.03,78.74,0.12,0.12,68.12,43.18,18.76,2.47,13.89,0.10
E01033682,E01033682 : Manchester 060C,3.81,74.69,0.40,0.80,61.62,45.81,18.91,2.47,13.82,0.19
E01034131,E01034131 : Manchester 060E,6.07,66.50,0.31,0.15,80.09,63.64,17.86,2.54,13.66,0.12
E01034132,E01034132 : Manchester 060F,6.43,64.05,0.00,0.21,85.27,53.77,17.86,2.54,13.66,0.10
E01005129,E01005129 : Manchester 061A,9.44,37.70,3.36,42.33,73.14,46.63,20.69,2.48,14.09,0.38
E01005132,E01005132 : Manchester 061B,8.09,28.35,4.98,54.92,61.71,44.01,20.97,2.45,14.53,0.35
E01034133,E01034133 : Manchester 061C,5.87,43.74,4.43,33.86,75.17,46.13,22.82,2.57,15.72,0.39
E01034134,E01034134 : Manchester 061D,1.46,81.79,0.45,1.64,74.93,46.42,21.73,2.45,15.72,0.12
E01034135,E01034135 : Manchester 062A,3.69,71.08,1.09,10.45,55.23,50.70,20.03,2.35,14.44,0.18
E01033688,E01033688 : Manchester 062B,8.10,26.64,6.88,40.26,77.75,45.22,19.83,2.47,13.95,0.49
E01034136,E01034136 : Manchester 062C,5.46,76.00,0.17,4.46,66.34,53.14,21.73,2.45,15.72,0.18
E01033684,E01033684 : Manchester 062D,4.42,76.71,0.00,0.69,81.93,52.55,21.05,2.65,14.58,0.14
E01005234,E01005234 : Manchester 063A,11.86,22.92,6.63,58.55,65.90,40.46,16.62,2.23,13.36,0.21
E01005233,E01005233 : Manchester 063B,13.21,23.03,9.67,70.48,73.32,38.42,18.23,2.31,13.35,0.17
