LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005700,E01005700 : Salford 012F,3.9,29.93,10.37,28.35,35.73,30.48 ,5.47 ,22.09,16.5,2.25,13.16,0.41
E01005716,E01005716 : Salford 013A,4.1,42.85,63.69,8.93,13.06,48.46 ,2.08 ,7.14,13.73,2.1,12.47,0.49
E01005717,E01005717 : Salford 013B,3.38,50.82,81.67,3.38,9.64,54.56 ,1.77 ,3.73,14.15,2.09,12.6,0.49
E01005734,E01005734 : Salford 013C,4.28,31.35,15.02,21.73,30.88,33.93 ,2.24 ,17.41,13.32,2.27,12.03,0.43
E01005735,E01005735 : Salford 013D,3.92,34.53,18.29,3.02,9.72,39.65 ,3.18 ,9.2,13.32,2.27,12.03,0.4
E01005736,E01005736 : Salford 013E,4.31,34.21,24.8,24.32,16.32,41.73 ,0.64 ,12.64,13.51,2.48,12.1,0.38
E01005737,E01005737 : Salford 013F,3.65,44.61,62.88,7.12,6.94,51.84 ,1.02 ,5.94,13.43,1.99,11.88,0.56
E01005739,E01005739 : Salford 013G,3.56,46.62,59.46,17.77,12.13,51.12 ,2.30 ,8.17,12.28,2.34,11.14,0.47
E01005695,E01005695 : Salford 014A,2.66,43.73,36.15,7.96,10.7,51.16 ,1.60 ,10.4,18.2,2.19,14.02,0.49
E01005697,E01005697 : Salford 014B,4.8,37.95,7.08,17.38,16.69,44.09 ,0.77 ,12.33,16.78,2.12,13.48,0.4
E01005738,E01005738 : Salford 014C,2.71,44.29,27.13,16.55,15.92,52.40 ,1.59 ,9.37,16.23,1.94,12.93,0.5
E01005740,E01005740 : Salford 014D,2.84,46.31,10.57,18,20.8,49.73 ,1.29 ,12.86,19.06,1.78,13.97,0.55
E01005741,E01005741 : Salford 014E,3.38,49,39.27,7.59,15.06,53.24 ,1.46 ,12.13,16.86,1.98,13.45,0.5
E01005742,E01005742 : Salford 014F,3.77,39.29,9.49,15.36,18.22,43.89 ,0.90 ,12.03,17.69,1.98,13.71,0.39
E01005625,E01005625 : Salford 015A,4.34,30.04,9.88,0.33,25.08,33.54 ,6.77 ,15.35,17.75,2.99,12.72,0.37
E01005627,E01005627 : Salford 015B,3.09,31.3,4.63,9.26,16.53,34.47 ,3.35 ,15.64,18.44,2.92,13.1,0.35
E01005699,E01005699 : Salford 015C,4.74,27.3,11.35,5.15,13.4,34.68 ,2.37 ,14.08,17.22,2.5,13.32,0.33
E01005701,E01005701 : Salford 015D,3.58,30.96,26.98,7.37,17.6,37.79 ,2.37 ,12.45,17.02,2.49,13.17,0.39
E01005624,E01005624 : Salford 017A,8.38,24.87,4.53,8.52,57.69,19.11 ,10.55 ,36.49,18.56,2.76,13.47,0.39
E01005680,E01005680 : Salford 017B,9.86,21.33,2.9,17.13,79.32,15.46 ,8.33 ,53.86,19.13,2.76,13.73,0.32
