2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005036 : Bury 024C,"1,982",861,661,323,102,35
E01005037 : Bury 024D,"1,493",745,505,182,48,13
E01005031 : Bury 025A,"1,531",737,482,221,67,24
E01005032 : Bury 025B,"1,341",572,399,259,88,23
E01005035 : Bury 025C,"1,455",727,485,172,59,12
E01005038 : Bury 025D,"1,360",713,456,144,38,9
E01005040 : Bury 026A,"1,845",940,591,221,76,17
E01005041 : Bury 026B,"1,858","1,112",507,176,52,11
E01005042 : Bury 026C,"1,952","1,197",498,191,49,17
E01005043 : Bury 026D,"1,947","1,354",420,132,33,8
E01005044 : Bury 026E,"1,965","1,321",443,144,47,10
E01005098 : Manchester 001A,"1,631",708,497,243,129,54
E01005099 : Manchester 001B,"1,943",976,568,231,122,46
E01005100 : Manchester 001C,"1,658",783,494,234,111,36
E01005102 : Manchester 001D,"1,370",635,465,205,47,18
E01005103 : Manchester 001E,"1,835",802,555,290,136,52
E01005101 : Manchester 002A,"1,870",843,570,289,123,45
E01005135 : Manchester 002B,"1,868",913,571,259,96,29
E01005136 : Manchester 002C,"1,510",631,520,236,87,36
E01005138 : Manchester 002D,"2,480","1,264",713,330,142,31
E01034107 : Manchester 002F,"1,412",730,432,183,57,10
E01034108 : Manchester 002G,"2,074","1,106",622,218,93,35
E01005139 : Manchester 003B,"1,966",946,662,253,88,17
E01005141 : Manchester 003C,"1,974",884,589,319,140,42
E01005251 : Manchester 003D,"1,676",846,534,186,85,25
E01005252 : Manchester 003E,"1,931",863,572,333,113,50
E01033685 : Manchester 003F,"1,585",858,465,180,63,19
E01033687 : Manchester 003G,"1,341",464,380,303,156,38
E01005104 : Manchester 004A,"1,975",959,640,246,104,26
E01005160 : Manchester 004B,"1,974","1,005",612,248,86,23
E01005161 : Manchester 004C,"1,814",851,629,240,61,33
E01005162 : Manchester 004D,"1,897",965,565,249,95,23
E01005163 : Manchester 004E,"1,786",873,579,227,81,26
