LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01004919,E01004919 : Bolton 012D,1.3499,1.0598,1.3125,1.025
E01004920,E01004920 : Bolton 012E,1.7349,1.082,1.508,1.0067
E01004787,E01004787 : Bolton 013A,2.5075,2.1742,1.6588,1.0064
E01004793,E01004793 : Bolton 013B,1.8311,1.4978,1.1372,1.2975
E01004794,E01004794 : Bolton 013C,3.2678,3.0675,1.525,2.139
E01004795,E01004795 : Bolton 013D,1.9495,1.6432,0.9446,1.6289
E01004797,E01004797 : Bolton 013E,1.5071,1.6245,1.1402,0.8425
E01004775,E01004775 : Bolton 014A,4.8206,3.8002,2.8094,3.0163
E01004885,E01004885 : Bolton 014B,4.7537,3.5536,2.199,3.1685
E01004886,E01004886 : Bolton 014C,2.8464,2.5462,1.688,2.3082
E01004887,E01004887 : Bolton 014D,3.796,3.4958,2.3828,3.461
E01004868,E01004868 : Bolton 015A,1.4614,0.583,1.0407,0.8969
E01004869,E01004869 : Bolton 015B,1.4706,0.4672,0.4364,0.4521
E01004870,E01004870 : Bolton 015C,0.8256,0.6263,0.8345,1.1245
E01004871,E01004871 : Bolton 015D,1.5446,1.3468,1.5446,1.5622
E01004922,E01004922 : Bolton 015E,1.3062,0.7062,0.9344,1.0559
E01004822,E01004822 : Bolton 016B,1.2243,1.1273,0.909,0.5538
E01004823,E01004823 : Bolton 016C,1.064,0.7746,0.7746,1.1451
E01004848,E01004848 : Bolton 016D,1.3153,1.089,0.9009,1.1185
E01033217,E01033217 : Bolton 016E,0.4851,0.7023,0.4851,1.029
E01033220,E01033220 : Bolton 016F,1.9233,1.2759,1.2759,1.2538
E01004818,E01004818 : Bolton 017A,0.763,0.794,1.4691,0.5646
E01004819,E01004819 : Bolton 017B,1.4139,1.7306,2.2223,1.6762
E01004928,E01004928 : Bolton 017C,1.76,2.2332,0.6067,0.4943
E01004930,E01004930 : Bolton 017D,1.7062,2.2188,1.1326,1.1544
E01004931,E01004931 : Bolton 017E,1.244,1.5247,1.1872,1.0331
E01004932,E01004932 : Bolton 017F,0.7295,1.0606,0.7729,0.6008
E01004834,E01004834 : Bolton 018A,0.6166,0.6166,1.0966,0.6898
E01004838,E01004838 : Bolton 018B,0.7204,0.7404,0.805,0.7115
E01004843,E01004843 : Bolton 018C,1.3465,1.6134,0.8057,1.7546
E01004845,E01004845 : Bolton 018D,1.8157,1.6459,1.6557,2.3428
E01004923,E01004923 : Bolton 018E,1.5993,1.0139,1.2821,1.5571
E01004796,E01004796 : Bolton 019A,1.0966,1.6195,0.8694,0.6251
E01004798,E01004798 : Bolton 019B,0.9905,1.6812,1.3379,0.9905
E01004799,E01004799 : Bolton 019C,1.6093,2.0918,2.0365,1.6212
E01004800,E01004800 : Bolton 019D,2.5525,3.035,2.7769,2.5525
E01004801,E01004801 : Bolton 019E,2.3853,2.8423,1.5086,1.3341
E01004917,E01004917 : Bolton 019F,2.8728,3.1034,2.3423,1.2215
E01004835,E01004835 : Bolton 020A,2.4575,2.6502,1.632,2.0431
E01004836,E01004836 : Bolton 020B,1.5442,1.3453,1.197,1.2233
E01004837,E01004837 : Bolton 020C,1.644,2.6471,2.1571,3.0314
E01004844,E01004844 : Bolton 020D,3.2067,1.4806,1.4806,3.798
E01004897,E01004897 : Bolton 020E,3.6114,2.6481,2.6481,4.2547
E01004827,E01004827 : Bolton 021A,0.8585,1.0618,1.2526,0.8909
E01004849,E01004849 : Bolton 021B,1.2134,0.5733,0.7529,0.5469
E01004850,E01004850 : Bolton 021C,0.8294,0.753,0.7303,0.7209
E01004851,E01004851 : Bolton 021D,0.9533,0.7291,0.7873,0.8094
E01004853,E01004853 : Bolton 021E,0.5919,0.7021,1.0097,0.5854
E01004811,E01004811 : Bolton 022A,2.119,0.9545,0.8609,0.9277
E01004812,E01004812 : Bolton 022B,1.507,1.7127,1.4357,1.1936
E01004813,E01004813 : Bolton 022C,2.0746,1.3412,1.3412,0.7558
E01004815,E01004815 : Bolton 022D,2.4743,1.3415,1.5018,0.9568
E01004817,E01004817 : Bolton 022E,0.7741,0.856,0.4578,0.6779
E01004828,E01004828 : Bolton 023A,1.1251,1.0364,0.8849,0.5832
E01004829,E01004829 : Bolton 023B,0.9077,0.7303,0.6458,0.4741
E01004832,E01004832 : Bolton 023C,1.0296,1.2913,1.281,1.0519
E01004854,E01004854 : Bolton 023D,0.5967,0.4897,0.7193,0.4897
E01004878,E01004878 : Bolton 023E,1.0479,1.9479,1.6244,1.0581
E01004911,E01004911 : Bolton 024A,1.0029,1.0029,0.942,1.0029
E01004912,E01004912 : Bolton 024B,1.6022,1.6022,1.6022,1.6022
E01004913,E01004913 : Bolton 024C,0.8987,1.0861,0.838,0.8987
E01004914,E01004914 : Bolton 024D,1.4929,1.7354,1.8507,1.4929
E01004915,E01004915 : Bolton 024E,1.8193,1.8354,1.6669,1.8071
E01004916,E01004916 : Bolton 024F,1.4131,1.6557,1.5798,1.4131
E01004918,E01004918 : Bolton 024G,1.8049,1.8122,1.4853,1.8049
E01004846,E01004846 : Bolton 025A,1.5313,1.0802,0.9986,0.99
E01004847,E01004847 : Bolton 025B,1.1501,1.1043,0.9203,0.9605
E01004852,E01004852 : Bolton 025C,0.8933,0.792,1.1316,0.792
E01004877,E01004877 : Bolton 025D,0.8734,1.9589,1.5768,0.8734
E01004879,E01004879 : Bolton 025E,1.5835,1.8773,1.3913,1.1374
E01004830,E01004830 : Bolton 026A,0.6294,0.6988,0.7623,0.5179
E01004831,E01004831 : Bolton 026B,1.2378,0.876,0.876,1.0852
E01004833,E01004833 : Bolton 026C,3.0283,2.9975,2.8729,1.9808
E01004839,E01004839 : Bolton 026D,1.1843,1.2521,1.3305,1.1766
E01004814,E01004814 : Bolton 027A,2.1579,2.5342,1.6956,1.0847
E01004855,E01004855 : Bolton 027B,1.7293,1.3879,0.8662,1.3328
E01004856,E01004856 : Bolton 027C,2.6696,2.9289,0.604,1.1978
E01004857,E01004857 : Bolton 027D,1.9595,1.9749,1.0439,0.7144
E01004891,E01004891 : Bolton 028A,2.3116,1.414,1.414,1.414
E01004893,E01004893 : Bolton 028B,1.8202,1.4549,1.0283,1.4506
E01004894,E01004894 : Bolton 028C,0.9567,1.3644,1.2877,0.8132
E01004901,E01004901 : Bolton 028E,2.003,1.4047,1.4445,1.4047
E01033218,E01033218 : Bolton 028F,2.6491,2.1346,2.1346,2.1346
E01033219,E01033219 : Bolton 028G,4.0104,3.4607,3.4607,3.807
E01004816,E01004816 : Bolton 029A,2.6637,2.0348,2.1207,1.5054
E01004872,E01004872 : Bolton 029B,2.4858,2.8788,1.6359,0.9598
E01004873,E01004873 : Bolton 029C,3.1178,3.0986,1.3688,1.3523
E01004875,E01004875 : Bolton 029D,3.5727,3.6319,0.9503,0.9821
E01004880,E01004880 : Bolton 029E,3.8275,2.4628,1.0008,1.7077
E01004892,E01004892 : Bolton 030A,4.3327,3.9782,3.3852,1.3238
E01004896,E01004896 : Bolton 030B,3.8356,3.4466,1.3341,2.3161
E01004899,E01004899 : Bolton 030C,2.3973,2.9604,2.9604,2.9316
E01004900,E01004900 : Bolton 030D,1.7856,1.6672,1.6672,1.6412
E01004776,E01004776 : Bolton 031A,2.3362,1.9774,2.8129,1.941
E01004895,E01004895 : Bolton 031B,1.8844,2.8015,0.8686,2.1166
E01004936,E01004936 : Bolton 031C,0.7262,0.9877,1.0792,0.694
E01004938,E01004938 : Bolton 031D,1.8317,2.3104,1.2654,2.0777
E01004939,E01004939 : Bolton 031E,2.3101,2.7888,2.385,2.3851
E01004858,E01004858 : Bolton 032A,1.5197,1.9127,1.5557,1.2936
E01004859,E01004859 : Bolton 032B,1.2522,0.9583,0.7975,0.8286
E01004860,E01004860 : Bolton 032C,1.1597,0.8827,1.2713,0.8589
E01004902,E01004902 : Bolton 032D,1.0232,1.0729,1.5342,1.0814
E01004906,E01004906 : Bolton 032E,0.7319,0.836,1.0196,1.2017
E01004861,E01004861 : Bolton 033A,2.7926,2.1831,2.1807,1.8893
E01004862,E01004862 : Bolton 033B,2.2757,1.8006,2.2779,1.6431
E01004863,E01004863 : Bolton 033C,1.8856,1.4561,2.0275,0.9618
E01004874,E01004874 : Bolton 033D,3.8225,3.8726,1.2994,1.2994
E01004876,E01004876 : Bolton 033E,3.1553,3.229,0.7462,0.9348
E01004903,E01004903 : Bolton 034A,2.4678,2.2875,2.2077,2.3073
E01004904,E01004904 : Bolton 034B,2.7244,3.408,3.1681,3.374
E01004905,E01004905 : Bolton 034C,1.6352,0.7477,0.7477,0.8982
E01004907,E01004907 : Bolton 034D,2.7748,2.0454,0.9606,1.9519
E01004908,E01004908 : Bolton 034E,3.3984,3.1052,3.5403,2.4473
E01004909,E01004909 : Bolton 034F,2.5631,1.8337,1.251,1.7402
E01004910,E01004910 : Bolton 034G,1.7219,2.4198,2.4198,2.4395
