2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01005012 : Bury 018C,"1,756",347,152,195,"1,409",108,"1,301",19.76 ,6.15 ,74.09 
E01005013 : Bury 018D,"2,622",446,183,263,"2,176",166,"2,010",17.01 ,6.33 ,76.66 
E01004984 : Bury 019A,"1,394",221,88,133,"1,173",113,"1,060",15.85 ,8.11 ,76.04 
E01004985 : Bury 019B,"1,462",211,84,127,"1,251",115,"1,136",14.43 ,7.87 ,77.70 
E01004989 : Bury 019C,"1,421",227,95,132,"1,194",125,"1,069",15.97 ,8.80 ,75.23 
E01005007 : Bury 019D,"1,509",352,176,176,"1,157",137,"1,020",23.33 ,9.08 ,67.59 
E01005011 : Bury 019E,"1,431",200,77,123,"1,231",105,"1,126",13.98 ,7.34 ,78.69 
E01004983 : Bury 020A,"1,355",207,75,132,"1,148",109,"1,039",15.28 ,8.04 ,76.68 
E01004986 : Bury 020B,"1,627",328,132,196,"1,299",154,"1,145",20.16 ,9.47 ,70.37 
E01004987 : Bury 020C,"1,310",414,229,185,896,80,816,31.60 ,6.11 ,62.29 
E01004988 : Bury 020D,"1,387",281,107,174,"1,106",115,991,20.26 ,8.29 ,71.45 
E01004941 : Bury 021A,"1,869",353,174,179,"1,516",98,"1,418",18.89 ,5.24 ,75.87 
E01004942 : Bury 021B,"1,700",361,176,185,"1,339",90,"1,249",21.24 ,5.29 ,73.47 
E01004943 : Bury 021C,"1,837",296,115,181,"1,541",127,"1,414",16.11 ,6.91 ,76.97 
E01004944 : Bury 021D,"1,517",220,77,143,"1,297",129,"1,168",14.50 ,8.50 ,76.99 
E01004946 : Bury 021E,"1,679",469,242,227,"1,210",97,"1,113",27.93 ,5.78 ,66.29 
E01004969 : Bury 022A,"1,509",351,188,163,"1,158",112,"1,046",23.26 ,7.42 ,69.32 
E01004970 : Bury 022B,"1,626",267,101,166,"1,359",123,"1,236",16.42 ,7.56 ,76.01 
E01004971 : Bury 022C,"1,477",240,87,153,"1,237",113,"1,124",16.25 ,7.65 ,76.10 
E01005034 : Bury 022D,"1,789",354,162,192,"1,435",147,"1,288",19.79 ,8.22 ,72.00 
E01004972 : Bury 023A,"1,494",330,157,173,"1,164",88,"1,076",22.09 ,5.89 ,72.02 
E01004973 : Bury 023B,"1,546",234,86,148,"1,312",106,"1,206",15.14 ,6.86 ,78.01 
E01004975 : Bury 023C,"1,498",289,125,164,"1,209",137,"1,072",19.29 ,9.15 ,71.56 
E01005039 : Bury 023D,"1,576",406,206,200,"1,170",118,"1,052",25.76 ,7.49 ,66.75 
E01005045 : Bury 023E,"1,619",302,131,171,"1,317",134,"1,183",18.65 ,8.28 ,73.07 
E01004974 : Bury 024A,"1,410",200,66,134,"1,210",122,"1,088",14.18 ,8.65 ,77.16 
E01005033 : Bury 024B,"1,675",228,82,146,"1,447",116,"1,331",13.61 ,6.93 ,79.46 
E01005036 : Bury 024C,"1,981",457,213,244,"1,524",141,"1,383",23.07 ,7.12 ,69.81 
E01005037 : Bury 024D,"1,493",247,96,151,"1,246",128,"1,118",16.54 ,8.57 ,74.88 
E01005031 : Bury 025A,"1,532",311,128,183,"1,221",94,"1,127",20.30 ,6.14 ,73.56 
E01005032 : Bury 025B,"1,342",407,265,142,935,70,865,30.33 ,5.22 ,64.46 
E01005035 : Bury 025C,"1,455",242,98,144,"1,213",129,"1,084",16.63 ,8.87 ,74.50 
E01005038 : Bury 025D,"1,357",200,88,112,"1,157",95,"1,062",14.74 ,7.00 ,78.26 
E01005040 : Bury 026A,"1,845",322,135,187,"1,523",128,"1,395",17.45 ,6.94 ,75.61 
E01005041 : Bury 026B,"1,857",259,113,146,"1,598",99,"1,499",13.95 ,5.33 ,80.72 
E01005042 : Bury 026C,"1,953",248,103,145,"1,705",118,"1,587",12.70 ,6.04 ,81.26 
E01005043 : Bury 026D,"1,947",174,76,98,"1,773",96,"1,677",8.94 ,4.93 ,86.13 
E01005044 : Bury 026E,"1,965",242,92,150,"1,723",81,"1,642",12.32 ,4.12 ,83.56 
E01005098 : Manchester 001A,"1,632",399,222,177,"1,233",70,"1,163",24.45 ,4.29 ,71.26 
E01005099 : Manchester 001B,"1,943",412,236,176,"1,531",79,"1,452",21.20 ,4.07 ,74.73 
E01005100 : Manchester 001C,"1,658",362,191,171,"1,296",97,"1,199",21.83 ,5.85 ,72.32 
E01005102 : Manchester 001D,"1,370",254,107,147,"1,116",91,"1,025",18.54 ,6.64 ,74.82 
E01005103 : Manchester 001E,"1,832",444,259,185,"1,388",89,"1,299",24.24 ,4.86 ,70.91 
E01005101 : Manchester 002A,"1,871",421,223,198,"1,450",98,"1,352",22.50 ,5.24 ,72.26 
E01005135 : Manchester 002B,"1,866",395,191,204,"1,471",80,"1,391",21.17 ,4.29 ,74.54 
E01005136 : Manchester 002C,"1,510",352,202,150,"1,158",58,"1,100",23.31 ,3.84 ,72.85 
E01005138 : Manchester 002D,"2,480",457,240,217,"2,023",103,"1,920",18.43 ,4.15 ,77.42 
E01034107 : Manchester 002F,"1,412",212,96,116,"1,200",81,"1,119",15.01 ,5.74 ,79.25 
E01034108 : Manchester 002G,"2,074",346,185,161,"1,728",108,"1,620",16.68 ,5.21 ,78.11 
E01005139 : Manchester 003B,"1,966",331,149,182,"1,635",121,"1,514",16.84 ,6.15 ,77.01 
E01005141 : Manchester 003C,"1,974",507,282,225,"1,467",90,"1,377",25.68 ,4.56 ,69.76 
E01005251 : Manchester 003D,"1,678",302,145,157,"1,376",86,"1,290",18.00 ,5.13 ,76.88 
E01005252 : Manchester 003E,"1,930",472,270,202,"1,458",107,"1,351",24.46 ,5.54 ,70.00 
E01033685 : Manchester 003F,"1,587",231,124,107,"1,356",74,"1,282",14.56 ,4.66 ,80.78 
E01033687 : Manchester 003G,"1,341",430,262,168,911,61,850,32.07 ,4.55 ,63.39 
E01005104 : Manchester 004A,"1,975",352,178,174,"1,623",80,"1,543",17.82 ,4.05 ,78.13 
E01005160 : Manchester 004B,"1,974",288,135,153,"1,686",91,"1,595",14.59 ,4.61 ,80.80 
E01005161 : Manchester 004C,"1,814",292,122,170,"1,522",87,"1,435",16.10 ,4.80 ,79.11 
E01005162 : Manchester 004D,"1,897",346,173,173,"1,551",91,"1,460",18.24 ,4.80 ,76.96 
E01005163 : Manchester 004E,"1,786",301,141,160,"1,485",75,"1,410",16.85 ,4.20 ,78.95 
E01005247 : Manchester 005A,"1,421",292,146,146,"1,129",84,"1,045",20.55 ,5.91 ,73.54 
E01005248 : Manchester 005B,"1,326",266,117,149,"1,060",89,971,20.06 ,6.71 ,73.23 
E01005249 : Manchester 005C,"2,199",435,204,231,"1,764",108,"1,656",19.78 ,4.91 ,75.31 
E01005250 : Manchester 005D,"2,233",415,214,201,"1,818",99,"1,719",18.58 ,4.43 ,76.98 
E01005253 : Manchester 005E,"1,706",377,190,187,"1,329",57,"1,272",22.10 ,3.34 ,74.56 
E01005254 : Manchester 005F,"1,606",294,122,172,"1,312",109,"1,203",18.31 ,6.79 ,74.91 
E01005164 : Manchester 006A,"2,343",428,252,176,"1,915",78,"1,837",18.27 ,3.33 ,78.40 
E01005205 : Manchester 006B,"2,194",456,264,192,"1,738",92,"1,646",20.78 ,4.19 ,75.02 
E01005206 : Manchester 006C,"1,875",332,175,157,"1,543",100,"1,443",17.71 ,5.33 ,76.96 
E01005207 : Manchester 006D,"2,020",290,139,151,"1,730",75,"1,655",14.36 ,3.71 ,81.93 
E01005223 : Manchester 007A,"1,615",270,128,142,"1,345",90,"1,255",16.72 ,5.57 ,77.71 
E01005224 : Manchester 007B,"2,118",293,155,138,"1,825",84,"1,741",13.83 ,3.97 ,82.20 
E01005225 : Manchester 007C,"2,092",476,288,188,"1,616",81,"1,535",22.75 ,3.87 ,73.37 
E01005226 : Manchester 007D,"1,939",262,115,147,"1,677",68,"1,609",13.51 ,3.51 ,82.98 
E01005229 : Manchester 007E,"1,501",275,118,157,"1,226",95,"1,131",18.32 ,6.33 ,75.35 
E01005145 : Manchester 008A,"3,002",398,203,195,"2,604",61,"2,543",13.26 ,2.03 ,84.71 
E01005149 : Manchester 008C,"2,184",264,131,133,"1,920",41,"1,879",12.09 ,1.88 ,86.03 
E01005165 : Manchester 008D,"2,349",411,225,186,"1,938",86,"1,852",17.50 ,3.66 ,78.84 
E01005166 : Manchester 008E,"2,140",367,176,191,"1,773",67,"1,706",17.15 ,3.13 ,79.72 
E01005167 : Manchester 008F,"2,315",325,143,182,"1,990",54,"1,936",14.04 ,2.33 ,83.63 
E01034109 : Manchester 008G,"1,525",178,79,99,"1,347",49,"1,298",11.67 ,3.21 ,85.11 
E01034110 : Manchester 008H,"1,496",195,88,107,"1,301",44,"1,257",13.03 ,2.94 ,84.02 
E01005202 : Manchester 009A,"2,383",494,301,193,"1,889",64,"1,825",20.73 ,2.69 ,76.58 
E01005203 : Manchester 009B,"2,024",458,241,217,"1,566",79,"1,487",22.63 ,3.90 ,73.47 
E01005227 : Manchester 009D,"2,078",367,203,164,"1,711",68,"1,643",17.66 ,3.27 ,79.07 
E01005228 : Manchester 009E,"2,249",404,236,168,"1,845",59,"1,786",17.96 ,2.62 ,79.41 
E01033678 : Manchester 009F,"1,776",289,155,134,"1,487",72,"1,415",16.27 ,4.05 ,79.67 
E01033679 : Manchester 009G,"1,397",327,207,120,"1,070",48,"1,022",23.41 ,3.44 ,73.16 
E01005256 : Manchester 011A,"2,640",519,308,211,"2,121",129,"1,992",19.66 ,4.89 ,75.45 
E01005257 : Manchester 011B,"2,009",443,248,195,"1,566",86,"1,480",22.05 ,4.28 ,73.67 
E01005258 : Manchester 011C,"1,798",464,272,192,"1,334",90,"1,244",25.81 ,5.01 ,69.19 
E01005259 : Manchester 011D,"1,773",401,226,175,"1,372",85,"1,287",22.62 ,4.79 ,72.59 
